model,horizon,mae,rmse,wape,mape,r2,mean_bias
TimesFM LoRA (Primary),11,640.1783675368487,867.6811988010846,13.177143950533257,14.791591759449876,0.5495210227266091,-242.05245931818322
TimesFM LoRA (Primary),12,622.9875634483992,869.9395500320906,12.813072757215313,14.525903979668996,0.5462500659496782,-188.5816906867429
TimesFM LoRA (Primary),13,644.8180787379243,866.2231723883696,13.25077504517057,15.112928506976797,0.5496071804289268,-221.85364115871104
TimesFM LoRA (Primary),14,630.734225184246,864.3849449506725,12.952363340801062,14.856969979190138,0.5512659119799816,-211.30474232239249
TimesFM LoRA (Primary),15,687.2321906917836,923.4874158737256,14.1065528896584,15.763903523338788,0.4874547453361856,-260.6127307961416
TimesFM LoRA (Primary),16,690.6912433680496,926.3271505727531,14.173623418905212,15.869273843148607,0.4839800640168549,-270.85156957275575
TimesFM LoRA (Primary),17,666.3670107994745,914.7265188373987,13.668639549486649,14.877951733755177,0.4976135139229727,-369.4416976413881
TimesFM LoRA (Primary),18,710.8304223338205,938.944239600522,14.572739775428033,15.765325536532082,0.4720096949551351,-343.262287981687
TimesFM LoRA (Primary),19,725.6261738760564,947.0796170927767,14.866919311595348,16.165915846061203,0.4641104148656683,-378.0061411068844
TimesFM LoRA (Primary),20,758.0729709753673,989.3342008968865,15.520666813517717,16.827581988979205,0.4165860129035073,-383.0208594272241
TimesFM LoRA (Primary),21,835.5912674828563,1072.9039657689007,17.099027226844527,18.839645098129925,0.3150566008040807,-374.9658607747175
TimesFM LoRA (Primary),22,771.516788855546,1004.1890652632119,15.783037409000167,17.608209462909976,0.40103579787692734,-348.0327883220229
TimesFM LoRA (Primary),23,826.2164912713484,1079.0281168142862,16.897881090897325,18.636118608616712,0.30948461849109754,-384.9210168766413
TimesFM LoRA (Primary),24,818.2095018580229,1072.634366893898,16.72542066794267,18.528871441934992,0.31836905766691914,-335.9326080191712
