model,mae,rmse,wape,mape
Previous Hour,780.0200915509215,1018.8273485115222,17.078849989765743,20.154755641151027
Previous Day,530.8658164550917,789.2911136469847,11.615868142839142,12.725024113398984
Previous Week,930.4339294559553,1347.6570700001082,20.360214939210742,23.454900233474586
LightGBM,371.32177549849604,497.85274487976466,8.130237887927896,7.892530902743538
